Name,Category,Description,Audience
Copy.ai,AI Tools,Copy.ai — marketing copy blog posts and email generation prompts,non-engineer
Writesonic,AI Tools,Writesonic AI writer — article generation SEO mode and brand voice settings,non-engineer
Character.ai,AI Chatbot,Character.ai — persona creation conversation techniques and memory tips,non-engineer
Poe,AI Chatbot,Poe multi-model AI chat — bot creation model switching and prompt templates,non-engineer
HuggingChat,AI Chatbot,HuggingChat open-source assistant — model selection and web search prompts,non-engineer
Ollama,AI Tools,Ollama — local LLM serving model pulling chat and API usage,engineer
LM Studio,AI Tools,LM Studio — local model management server mode and inference parameters,engineer
Jan.ai,AI Tools,Jan.ai — local AI assistant model install server and extension usage,engineer
LangChain,AI Tools,LangChain — chains agents memory tools and LCEL pipeline patterns,engineer
LlamaIndex,AI Tools,LlamaIndex — document indexing retrieval augmented generation and query engines,engineer
OpenAI Agents SDK,AI Tools,OpenAI Agents SDK — agents tools handoffs and tracing patterns,engineer
Vercel AI SDK,AI Tools,Vercel AI SDK — streamText generateText useChat and tool calling in Next.js,engineer
Semantic Kernel,AI Tools,Microsoft Semantic Kernel — plugins planners memory and function calling patterns,engineer
Haystack,AI Tools,Haystack AI framework — pipelines components RAG and evaluation,engineer
CrewAI,AI Tools,CrewAI multi-agent framework — crews agents tasks tools and process flows,engineer
AutoGen,AI Tools,Microsoft AutoGen — multi-agent conversations code execution and tool use,engineer
DSPy,AI Tools,Stanford DSPy — modules signatures optimizers and compiled prompt programs,engineer
Instructor,AI Tools,Instructor Python library — structured output validation retry and streaming with OpenAI,engineer
Anthropic Claude Code,Coding Assistant,Claude Code CLI — slash commands file operations git integration and CLAUDE.md config,engineer
OpenAI Codex,Coding Assistant,OpenAI Codex CLI — natural language shell commands explain patch and diff modes,engineer
Sourcegraph Cody,Coding Assistant,Sourcegraph Cody — codebase chat commands autocomplete and repository search,engineer
Pieces for Developers,Coding Assistant,Pieces AI developer tool — snippet capture context enrichment and Copilot chat,engineer
AWS Bedrock,AI Tools,Amazon Bedrock — model invocation streaming agents knowledge bases and guardrails,engineer
Azure OpenAI,AI Tools,Azure OpenAI Service — deployment management API versions DALL-E and content filters,engineer
Google Vertex AI,AI Tools,Google Vertex AI — Gemini API model tuning evaluation and agent builder,engineer
Together AI,AI Tools,Together AI inference API — model selection streaming fine-tuning and embeddings,engineer
Groq,AI Tools,Groq LPU inference API — ultra-fast model serving streaming and tool use,engineer
Replicate,AI Tools,Replicate — model deployment prediction streaming and webhook integration,engineer
